store_id,uptime_lastweek,downtime_lastweek,uptime_lastday,downtime_lastday,'uptime_lasthour,downtime_lasthour
8419537941919820732,10079.883333333333,0.0,1439.9833333333333,0.0,0,0
54515546588432327,3780.0,0.0,630.0,0.0,0,0
8377465688456570187,3810.0,0.0,750.0,0.0,0,0
5955337179846162144,3000.0,0.0,600.0,0.0,0,0
1169347689335808384,3000.0,0.0,600.0,0.0,0,0
3739729523266121270,8639.9,0.0,1439.9833333333331,0.0,0,0
4430370444829587327,6869.900000000001,0.0,1124.9833333333333,0.0,0,0
1912555533282230523,1500.0,0.0,300.0,0.0,0,0
5489547402882838709,6299.900000000001,0.0,1019.9833333333332,0.0,0,0
759601765366096871,10079.883333333335,0.0,1439.9833333333336,0.0,0,0
5627904252074297008,6659.900000000001,0.0,1109.9833333333333,0.0,0,0
2651685499613063745,10079.883333333333,0.0,1439.9833333333331,0.0,0,0
5043046815492880667,8639.900000000001,0.0,1439.9833333333336,0.0,0,0
2367299134091594697,4492.558194483334,4147.341805516668,834.4002726333333,605.5830607,0,0
6613902849003357359,8639.9,0.0,1439.9833333333333,0.0,0,0
1396650693591399695,8639.9,0.0,1439.9833333333331,0.0,0,0
837699569013981799,8639.900000000001,0.0,1439.9833333333336,0.0,0,0
2057963137235512954,10079.883333333333,0.0,1439.9833333333333,0.0,0,0
6108568838704593560,8639.9,0.0,1439.9833333333331,0.0,0,0
7815590034868021689,9665.337813783335,414.54551955000005,1383.2935292,56.68980413333334,0,0
7493928216510270665,10079.883333333335,0.0,1439.9833333333336,0.0,0,0
7961038966240415760,6119.999999999999,0.0,1019.9999999999999,0.0,0,0
605803287923472894,5039.900000000001,0.0,839.9833333333332,0.0,0,0
5278384915350904550,2100.0,0.0,420.0,0.0,0,0
8494749731668571682,1410.0,0.0,0.0,0.0,0,0
4858828967449392712,4439.983333333334,0.0,600.0,0.0,0,0
7555752115160416405,4409.983333333334,0.0,570.0,0.0,0,0
8625022238145771938,6479.9,0.0,1079.9833333333333,0.0,0,0
4159147177864939740,2700.0,0.0,540.0,0.0,0,0
8157355919956132858,4049.916666666667,0.0,809.9833333333335,0.0,0,0
3595154674145356045,7559.9000000000015,0.0,1259.9833333333336,0.0,0,0
5693932324957995427,10079.883333333333,0.0,1439.9833333333331,0.0,0,0
8631502755712457479,4320.0,0.0,780.0,0.0,0,0
7369215549436595643,4320.0,0.0,720.0,0.0,0,0
5733393565264082443,3720.0,0.0,720.0,0.0,0,0
4681743429609749121,3270.0,0.0,630.0,0.0,0,0
2567728765809290933,5759.916666666667,0.0,1079.9833333333333,0.0,0,0
284239040495575980,2699.9333333333334,0.0,60.0,0.0,0,0
6656463669299127947,9773.086178516667,306.79715481666665,1377.1579722666665,62.825361066666666,0,0
9184109988854973601,5034.0,0.0,838.9999999999999,0.0,0,0
6031574077635056029,8639.9,0.0,1439.9833333333333,0.0,0,0
9111813718630350474,10079.883333333333,0.0,1439.9833333333331,0.0,0,0
8750493480383302874,7912.420163316668,2167.4631700166665,1195.7165613166667,244.26677201666666,0,0
3048405945625600463,8639.9,0.0,1439.9833333333333,0.0,0,0
3983786718839842887,10079.883333333335,0.0,1439.9833333333333,0.0,0,0
5047154360023757128,10079.883333333333,0.0,1439.9833333333333,0.0,0,0
7933946190613920010,5280.0,0.0,870.0,0.0,0,0
